serial_number,range,section,subdivision,township
NDM086235,101,3,"1,2",138
NDM086235,,,,
NDM086234,101,1,"S2N2,S2",138
NDM086234,101,1,"1,2,3,4",138
NDM086234,,,,
NDM086233,100,29,ALL,139
NDM086233,,,,
NDM086232,100,35,"SENE,NW",138
NDM086232,,,,
NDM086231,100,17,SWSW,138
NDM086231,,,,
NDM086230,100,6,NWSE,138
NDM086230,,,,
NDBLMA0016897,95,8,"NW,S2",151
NDBLMA0016897,95,9,"W2NW,SW,S2SE",151
NDBLMA0016897,,,,
NDBLMA0016896,95,3,"S2NE,S2",153
NDBLMA0016896,95,3,2-Jan,153
NDBLMA0016896,95,10,"NWNE,NENW",153
NDBLMA0016896,,,,
NDBLMA0016898,95,4,"S2NE,SESW,SE",153
NDBLMA0016898,,,,
NDM093169,97,33,"SW,N2SE,SWSE",149
NDM093169,97,34,"S2NW,NWSW",149
NDM093169,,,,
NDM093168,97,31,"E2E2,NWNE,NENW",149
NDM093168,97,31,"1,2",149
NDM093168,97,32,"N2,N2S2",149
NDM093168,,,,
NDM097560,97,12,SESE,153
NDM097560,97,13,NENE,153
NDM097560,,,,
NDM093161,97,11,SENE,149
NDM093161,,,,
NDM093160,97,5,W2SW EXCL 10.63 AC IN,149
NDM093160,97,5,RR ROW,149
NDM093160,97,8,"W2NW,SW",149
NDM093160,97,9,"SWNE,N2SE,SESE",149
NDM093160,97,17,N2,149
NDM093160,,,,
NDM093163,97,14,"SW,N2SE",149
NDM093163,97,15,"NW,N2SE,SESE",149
NDM093163,97,15,"N2SW,SESW,SWSE EXCL 19.25",149
NDM093163,97,15,AC RR ROW,149
NDM093163,,,,
NDM093162,97,13,"NESW,S2SW,W2SE",149
NDM093162,97,24,"N2,N2SW",149
NDM093162,97,25,"NENE,NWNW",149
NDM093162,97,27,"S2NW,SW",149
NDM093162,97,28,N2NW,149
NDM093162,,,,
NDM093165,97,21,"N2,E2SW,W2SE",149
NDM093165,97,22,"N2NE,SENE,N2NW,SWNW",149
NDM093165,97,22,EXCL 8.24 AC IN RR ROW,149
NDM093165,,,,
NDM093164,97,20,S2,149
NDM093164,97,29,"N2,SW",149
NDM093164,97,30,E2,149
NDM093164,,,,
NDM093167,97,23,"NENE,S2NW,NESW,NWSE",149
NDM093167,97,23,S2SE EXCL 6.01 AC IN RR,149
NDM093167,97,23,ROW,149
NDM093167,97,26,"SENW,NESW,S2SW,SE",149
NDM093167,97,26,E2NE EXCL 11.23 AC IN,149
NDM093167,97,26,RR ROW,149
NDM093167,,,,
NDM093166,97,21,W2SW,149
NDM093166,,,,
NDM086358,104,2,"S2NW,N2SW",134
NDM086358,104,2,"3,4",134
NDM086358,,,,
NDM086359,104,3,"S2NE,SE",134
NDM086359,104,3,"1,2",134
NDM086359,,,,
NDM086351,103,12,S2,137
NDM086351,,,,
NDM086352,103,13,ALL,137
NDM086352,103,14,"S2NE,N2SE",137
NDM086352,,,,
NDM086353,103,23,ALL,137
NDM086353,,,,
NDM086354,103,25,ALL,137
NDM086354,,,,
NDM086355,103,26,"N2NE,SWNE,W2,NWSE",137
NDM086355,,,,
NDM086356,103,26,"SENE,NESE,S2SE",137
NDM086356,,,,
NDM086357,104,1,S2NW,134
NDM086357,104,1,"3,4",134
NDM086357,,,,
NDM097566,101,29,"NENE,SE",139
NDM097566,,,,
NDM094245,101,4,S2N2,142
NDM094245,101,4,"1,2,3,4",142
NDM094245,101,8,ALL,142
NDM094245,101,18,NENW,142
NDM094245,101,18,1,142
NDM094245,,,,
NDM094244,101,2,"SWNW,SW,NESE,S2SE",142
NDM094244,101,10,"N2N2,SENE,S2NW,NWSW",142
NDM094244,101,12,NW,142
NDM094244,,,,
NDM094247,101,20,"E2E2,W2NW,SWSW,SWSE",142
NDM094247,101,30,"N2NE,E2NW",142
NDM094247,101,30,BED LTL MO RVR RIPAR,142
NDM094247,101,30,TO LOT 4 DESC BY M&B,142
NDM094247,101,30,(1.26 AC),142
NDM094247,101,30,"1,2,3,4",142
NDM094247,,,,
NDM094246,101,18,"NE,N2SE",142
NDM094246,101,22,SE,142
NDM094246,,,,
NDM093561,104,15,4,150
NDM093561,,,,
NDM093560,104,21,"NE,NWNW,S2NW",149
NDM093560,104,22,"SWNW,NWSW,S2SW",149
NDM093560,104,23,"NW,N2SW,SESW",149
NDM093560,104,24,"NW,N2SW,SWSW,SE",149
NDM093560,104,25,"NE,S2NW,NESE",149
NDM093560,104,27,"E2NE,NESE",149
NDM093560,104,35,NESE,149
NDM093560,,,,
NDM094243,101,1,"NESW,S2SW,SE",142
NDM094243,101,10,"NESW,S2SW,SE",142
NDM094243,101,22,NE,142
NDM094243,,,,
NDM093562,104,23,NESW,150
NDM093562,104,24,"1,8",150
NDM093562,104,25,NENE,150
NDM093562,,,,
NDM092585,97,4,SWSW,146
NDM092585,97,10,"S2SW,E2SE",146
NDM092585,97,18,E2,146
NDM092585,,,,
NDBLMA0016965,95,17,N2,151
NDBLMA0016965,95,21,ALL,151
NDBLMA0016965,95,28,"NENE,W2E2,E2W2",151
NDBLMA0016965,95,33,"W2NE,E2NW",151
NDBLMA0016965,,,,
NDM093569,101,20,SESW,139
NDM093569,,,,
NDBLM0031183,106,5,"NWSW,SESW",129
NDBLM0031183,106,5,10,129
NDBLM0031183,,,,
NDM090854,106,8,"NWNE,NW",131
NDM090854,,,,
NDM090855,106,27,SESE,131
NDM090855,106,34,SESE,131
NDM090855,,,,
NDM090856,106,18,"NESE,S2SE",130
NDM090856,,,,
NDM090851,106,29,"T6, BED LITTLE MISSOURI",130
NDM090851,106,29,RVR RIPAR TO LOTS,130
NDM090851,106,29,"3,6,7,8 DESC BY M&B",130
NDM090851,106,29,"3,6,7,8",130
NDM090851,106,32,"T6, BED LITTLE MISSOURI",130
NDM090851,106,32,"RVR RIPAR TO LOTS 1,2,4",130
NDM090851,106,32,DESC BY M&B,130
NDM090851,106,32,"1,2,4",130
NDM090851,,,,
NDM005410,95,3,"S2NW,NESW,SWSE",151
NDM005410,95,3,4,151
NDM005410,95,4,"S2NE,N2SE,SENW",151
NDM005410,95,4,2-Jan,151
NDM005410,95,9,"SWNE,SENW,N2SE",151
NDM005410,95,10,"E2NE,W2NW,SW,N2SE,SESE",151
NDM005410,95,15,ALL,151
NDM005410,,,,
NDM005411,95,22,ALL,151
NDM005411,95,28,"SENE,E2SE",151
NDM005411,95,33,E2NE,151
NDM005411,,,,
NDM010058,101,22,SENE,141
NDM010058,,,,
NDM099273,82,8,"SW,W2SE",163
NDM099273,,,,
NDM099277,92,1,"S2NE,SW",151
NDM099277,92,1,"1,2",151
NDM099277,92,11,TR N 1293 (2.00 AC),151
NDM099277,92,12,SE,151
NDM099277,92,13,"NW,S2",151
NDM099277,92,14,"S2SESW,SE",151
NDM099277,92,14,POR OF TR N 1290 IN,151
NDM099277,92,14,SESESENE (1.25 AC),151
NDM099277,,,,
NDM099276,91,15,SE,155
NDM099276,,,,
NDM099275,91,19,SENW,152
NDM099275,,,,
NDM099274,91,19,E2SW,152
NDM099274,91,19,"3,4",152
NDM099274,91,30,"W2SWNWNE,W2NWSWNE,SWSWNE",152
NDM099274,91,30,"E2W2,W2SE",152
NDM099274,91,30,"1,2,3,4",152
NDM099274,91,31,"E2W2,SE",152
NDM099274,91,31,"1,2,3,4",152
NDM099274,91,32,S2,152
NDM099274,,,,
NDM099279,92,12,NW,151
NDM099279,92,23,"NESW,N2SESW,SWSESW",151
NDM099279,92,23,N2SESESW,151
NDM099279,92,23,POR OF S2SESESW,151
NDM099279,92,23,(3.65 AC),151
NDM099279,,,,
NDM099278,92,10,"NW,S2",151
NDM099278,,,,
NDM078738,101,17,NW,144
NDM078738,,,,
NDM068013,101,19,SE,139
NDM068013,,,,
NDM091459,102,8,S2,147
NDM091459,102,18,"E2,E2NW",147
NDM091459,102,18,"1,2",147
NDM091459,102,19,"E2,E2W2",147
NDM091459,102,19,"1,2,3,4",147
NDM091459,102,20,SE,147
NDM091459,,,,
NDM094705,102,19,"E2,E2W2",148
NDM094705,102,19,4-Jan,148
NDM094705,102,20,E2,148
NDM094705,,,,
NDM091457,102,30,E2W2,146
NDM091457,102,30,"1,2,3,4",146
NDM091457,,,,
NDM014374,101,4,"S2NE,SENW",143
NDM014374,101,4,3-Jan,143
NDM014374,101,6,"S2NE,SENW,E2SW,SE",143
NDM014374,101,6,7-Jan,143
NDM014374,101,8,"N2SW,SESW",143
NDM014374,101,10,E2NE,143
NDM014374,101,20,"NE,NENW,S2NW",143
NDM014374,,,,
NDM091455,101,8,ALL,147
NDM091455,101,32,"SENW,E2SW,SESE",147
NDM091455,101,33,S2S2,147
NDM091455,,,,
NDM091454,101,22,W2,146
NDM091454,,,,
NDM091453,97,19,NWNE,149
NDM091453,,,,
NDM078736,101,15,NE,144
NDM078736,,,,
NDM091451,83,34,SE,162
NDM091451,,,,
NDM0044196,95,4,"S2NW,NESW",153
NDM0044196,95,4,"2,3,4",153
NDM0044196,95,5,SENE,153
NDM0044196,95,5,1,153
NDM0044196,95,33,"S2NE,SENW",154
NDM0044196,95,33,"1,2,3,4",154
NDM0044196,95,34,N2NW,154
NDM0044196,95,34,S2NW EXCL 6.06 AC IN 100,154
NDM0044196,95,34,FT WIDE RR R/W,154
NDM0044196,,,,
NDM093189,103,4,"S2N2,S2",139
NDM093189,103,4,"1,2,3,4",139
NDM093189,103,5,"S2N2,S2",139
NDM093189,103,5,"1,2,3,4",139
NDM093189,,,,
NDM037651,96,22,"N2SW,SWSW,S2SE",148
NDM037651,96,27,"E2NE,SENW,NESE",148
NDM037651,,,,
NDM101047,103,8,ALL,140
NDM101047,103,33,W2,140
NDM101047,,,,
NDM095798,96,30,E2SW,157
NDM095798,96,30,"3,4",157
NDM095798,,,,
NDM100282,103,23,SW,143
NDM100282,,,,
NDM101033,103,8,N2N2,134
NDM101033,103,11,SW,134
NDM101033,103,30,"E2,E2W2",134
NDM101033,103,30,"1,2,3,4",134
NDM101033,,,,
NDM101032,103,7,NE,134
NDM101032,,,,
NDM101031,103,6,"S2NE,SENW",134
NDM101031,103,6,1,134
NDM101031,103,10,ALL,134
NDM101031,103,34,"SESW,SE",134
NDM101031,,,,
NDM101030,103,5,"S2N2,S2",134
NDM101030,103,5,"1,2,3,4",134
NDM101030,103,19,"E2W2,SE",134
NDM101030,103,19,"1,2,3,4",134
NDM101030,,,,
NDM101037,103,2,"S2N2,S2",135
NDM101037,103,2,"1,2,3,4",135
NDM101037,103,14,SE,135
NDM101037,103,20,"NW,SE",135
NDM101037,103,35,"S2NW,N2SW,NWSE",135
NDM101037,,,,
NDM101036,103,28,E2,134
NDM101036,,,,
NDM101035,103,24,"N2NE,NENW",134
NDM101035,103,27,SW,134
NDM101035,,,,
NDM101034,103,9,ALL,134
NDM101034,103,29,"N2,SW",134
NDM101034,,,,
NDM101039,103,4,"NESE,S2SE",135
NDM101039,103,12,ALL,135
NDM101039,,,,
NDM101038,103,3,"S2N2,S2",135
NDM101038,103,3,"1,2,3,4",135
NDM101038,103,26,NW,135
NDM101038,103,30,E2,135
NDM101038,,,,
NDM101048,103,9,ALL,140
NDM101048,103,32,ALL,140
NDM101048,,,,
NDM101049,103,10,ALL,140
NDM101049,103,31,E2W2,140
NDM101049,103,31,"1,2,3,4",140
NDM101049,,,,
NDM094538,102,28,E2E2,142
NDM094538,,,,
NDM088910,90,8,SW,163
NDM088910,,,,
NDM028737,104,31,E2NE,129
NDM028737,104,31,"1,3,4",129
NDM028737,104,32,"NWNW,SENW,SWSW",129
NDM028737,105,11,N2NE,129
NDM028737,105,12,"NW,N2SW,NWSE",129
NDM028737,105,14,NWNE,129
NDM028737,105,24,SWSE,129
NDM028737,105,25,N2NW,129
NDM028737,105,26,NENE,129
NDM028737,,,,
NDM099295,87,5,FORMER MISSOURI RVRBD,146
NDM099295,87,5,INCLUDED IN TRACT H-741,146
NDM099295,87,5,"RIPAR TO LOTS 2,3,4,5",146
NDM099295,87,5,(113.81 AC),146
NDM099295,87,6,FORMER MISSOURI RVRBD,146
NDM099295,87,6,"RIPAR TO LOTS 1,2",146
NDM099295,87,6,(33.80 AC),146
NDM099295,,,,
NDM097848,98,3,"1,2",159
NDM097848,,,,
NDM097849,98,10,NW,159
NDM097849,,,,
NDM097842,93,36,LAKEBED RIPAR TO LOT 1,160
NDM097842,93,36,DESC BY M&B,160
NDM097842,,,,
NDM097840,93,1,LAKEBED RIPAR TO LOT 4,159
NDM097840,93,1,DESC BY M&B,159
NDM097840,93,1,4,159
NDM097840,93,36,LAKEBED RIPAR TO LOTS,159
NDM097840,93,36,1-6 INCL DESCR BY M&B,159
NDM097840,,,,
NDM097841,93,33,NE,160
NDM097841,,,,
NDM097846,97,6,"E2SW,W2SE",150
NDM097846,97,6,"6,7",150
NDM097846,97,7,NENW,150
NDM097846,97,7,1,150
NDM097846,,,,
NDM097847,97,29,SESE,150
NDM097847,97,30,"SWNE,NWSE",150
NDM097847,,,,
NDBLM0016442,95,33,SESE,154
NDBLM0016442,95,34,S2SW,154
NDBLM0016442,,,,
NDBLM0016443,96,24,SESE,149
NDBLM0016443,,,,
NDM088597,106,10,NENE,129
NDM088597,106,14,W2,129
NDM088597,,,,
NDM081084,102,36,BED OF LTL MISSOURI RVR,142
NDM081084,102,36,RIPAR TO LOTS 1-4,142
NDM081084,102,36,DESC BY M&B (22.31 AC),142
NDM081084,102,36,BED OF LTL MISSOURI RVR,142
NDM081084,102,36,RIPAR TO LOTS 5-7,142
NDM081084,102,36,DESC BY M&B (16.83 AC),142
NDM081084,,,,
NDM021330,101,29,"N2,SW",143
NDM021330,101,30,"E2,E2W2",143
NDM021330,101,30,4-Jan,143
NDM021330,101,33,E2,143
NDM021330,101,34,"SENE,S2NW,N2SW,NWSE",143
NDM021330,,,,
NDM099125,99,22,NWNW,147
NDM099125,,,,
NDM099123,97,8,E2SE,154
NDM099123,97,17,SWNE,154
NDM099123,97,20,NE,154
NDM099123,97,21,"N2NE,NW",154
NDM099123,97,22,SWSE,154
NDM099123,97,22,"4,5,6,7",154
NDM099123,97,23,ACCRETION TO LOT 7,154
NDM099123,97,23,"5,7",154
NDM099123,97,27,1,154
NDM099123,97,28,"ACCRETION TO LOTS 4,5,6",154
NDM099123,97,28,"4,5,6",154
NDM099123,,,,
NDM099120,93,29,SWSW,153
NDM099120,,,,
NDM062086,101,31,"THAT POR LOTS 1,2, S2NE,",140
NDM062086,101,31,"E2NW, & N2SE LYING IN",140
NDM062086,101,31,BURLINGTON NRN RAILROAD,140
NDM062086,101,31,CO RAILROAD R/W,140
NDM062086,,,,
NDM045650,102,2,SW,144
NDM045650,102,4,SESW,144
NDM045650,102,4,4-Mar,144
NDM045650,102,6,17,144
NDM045650,102,24,"N2NE,SENE,NESE",144
NDM045650,102,26,NESE,144
NDM045650,,,,
NDM032773,103,19,"NE,E2NW",150
NDM032773,103,19,"6,7,8,9",150
NDM032773,103,20,"NE,N2NW,SENW,NESW",150
NDM032773,103,20,"3,4,5,6",150
NDM032773,103,21,"NW,N2SW",150
NDM032773,103,21,"3,4,5,6",150
NDM032773,103,29,ALL,150
NDM032773,103,30,"E2,E2SW",150
NDM032773,103,30,"3,4",150
NDM032773,103,31,NE,150
NDM032773,,,,
NDM032772,103,3,"SWNE,S2NW",150
NDM032772,103,3,"1,2,3,4",150
NDM032772,103,4,"NWSW,S2S2",150
NDM032772,103,5,"S2NE,NESW,S2SW,SE",150
NDM032772,103,5,"1,2,3,4",150
NDM032772,103,6,"SWNE,SENW,E2SW,W2SE,SESE",150
NDM032772,103,9,E2,150
NDM032772,103,18,"E2,E2W2",150
NDM032772,103,18,"2,3,4",150
NDM032772,,,,
NDM032777,104,24,ALL,145
NDM032777,104,25,"NW,SE",145
NDM032777,104,26,SE,145
NDM032777,104,28,W2SE,145
NDM032777,104,29,"NW,SE",145
NDM032777,104,30,E2NW,145
NDM032777,104,30,"1,2",145
NDM032777,104,31,SE,145
NDM032777,104,32,SESW,145
NDM032777,104,33,"NW,SE",145
NDM032777,,,,
NDBLM0023793,95,29,SENE,151
NDBLM0023793,,,,
NDM023607,101,22,NENW,141
NDM023607,,,,
NDM091938,96,5,SWNW,149
NDM091938,96,6,SENE,149
NDM091938,96,6,1,149
NDM091938,,,,
NDM023608,101,32,S2,146
NDM023608,101,34,S2,146
NDM023608,,,,
NDM063077,97,19,"E2,E2SW",147
NDM063077,97,19,"3,4",147
NDM063077,97,29,SW,147
NDM063077,97,31,"NE,E2NW",147
NDM063077,97,31,"1,2",147
NDM063077,,,,
NDM086538,102,4,"S2NE,E2SE",143
NDM086538,102,4,"1,2,10",143
NDM086538,,,,
NDBIS0024228,106,7,4-Jan,130
NDBIS0024228,,,,
NDM066458,101,15,SE,144
NDM066458,,,,
NDM093998,98,15,"SENE,W2,N2SE,SWSE",148
NDM093998,98,22,"W2NE,NENW,SESE",148
NDM093998,,,,
NDM093999,98,23,NENE,148
NDM093999,98,24,"W2NW,N2SW,E2SE",148
NDM093999,98,25,NENE,148
NDM093999,,,,
NDM105566,96,29,5,154
NDM105566,,,,
NDM093994,98,2,"SWNW,W2SW",148
NDM093994,98,3,"S2NW,SW,S2SE",148
NDM093994,98,3,4,148
NDM093994,98,4,"S2N2,NWSW,SE",148
NDM093994,98,4,"1,2,3,4",148
NDM093994,,,,
NDM093995,98,3,"S2NE,N2SE",148
NDM093995,98,3,"1,2,3",148
NDM093995,98,10,"NENE,S2N2,SE",148
NDM093995,,,,
NDM093996,98,13,SWSW,148
NDM093996,98,14,SESE,148
NDM093996,,,,
NDM093997,98,15,"N2NE,SWNE",148
NDM093997,98,22,W2SE,148
NDM093997,98,27,ALL,148
NDM093997,,,,
NDM093993,98,1,"S2N2,S2",148
NDM093993,98,1,"1,2,3,4",148
NDM093993,98,2,"S2NE,SENW,E2SW,SE",148
NDM093993,98,2,"1,2,3,4",148
NDM093993,98,11,"N2NW,SWNW,NWSW",148
NDM093993,,,,
NDM091679,100,32,E2,144
NDM091679,100,33,ALL,144
NDM091679,100,34,ALL,144
NDM091679,,,,
NDM102623,101,18,"S2NE,SENW,NESW,W2SE",136
NDM102623,101,18,"2,3",136
NDM102623,,,,
NDM102622,101,19,NE,134
NDM102622,,,,
NDM102621,101,17,W2,134
NDM102621,,,,
NDM102620,101,7,E2NW,134
NDM102620,101,7,"1,2",134
NDM102620,,,,
NDM102627,101,19,"E2,E2W2",143
NDM102627,101,19,"1,2,3,4",143
NDM102627,101,20,SW,143
NDM102627,,,,
NDM102626,101,24,S2,136
NDM102626,,,,
NDM102625,101,20,SESE,136
NDM102625,,,,
NDM102624,101,18,SESW,136
NDM102624,101,18,4,136
NDM102624,,,,
NDM102629,102,7,E2SW,133
NDM102629,102,7,"3,4",133
NDM102629,,,,
NDM102628,102,4,SW,133
NDM102628,102,9,N2,133
NDM102628,,,,
NDM035439,102,1,SW,141
NDM035439,102,13,ALL,141
NDM035439,,,,
NDM081568,99,34,"W2W2,SE",143
NDM081568,,,,
NDM082236,100,3,"S2NW,S2",146
NDM082236,100,3,"3,4",146
NDM082236,100,5,"S2NW,S2",146
NDM082236,100,5,"3,4",146
NDM082236,100,9,ALL,146
NDM082236,100,11,ALL,146
NDM082236,,,,
NDM082234,100,30,E2NW,145
NDM082234,100,30,"1,2,3,4",145
NDM082234,,,,
NDM089799,105,2,"SWNE,SWSW,NWSE",148
NDM089799,,,,
NDM089798,105,1,"S2N2,S2",148
NDM089798,105,1,4-Jan,148
NDM089798,105,2,"SENE,S2NW,N2SW,SESW,NESE",148
NDM089798,105,2,S2SE,148
NDM089798,105,2,4-Jan,148
NDM089798,105,3,SENE,148
NDM089798,105,10,E2NE,148
NDM089798,105,10,"1,2",148
NDM089798,105,11,N2,148
NDM089798,105,12,"E2,N2NW,SENW,NESW",148
NDM089798,,,,
NDM099685,102,18,NESW,144
NDM099685,,,,
NDM093191,103,24,E2,139
NDM093191,,,,
NDM098943,91,6,"E2SW,SE",151
NDM098943,91,6,"6,7",151
NDM098943,,,,
NDM099683,92,26,SE,158
NDM099683,92,35,NE,158
NDM099683,,,,
NDM072390,100,18,"S2NE,E2W2,SE",138
NDM072390,100,18,"1,2,3,4",138
NDM072390,100,19,NE,138
NDM072390,100,21,W2,138
NDM072390,,,,
NDM093756,99,5,"S2N2,SW",145
NDM093756,99,5,"1,2,3,4",145
NDM093756,99,17,"W2,SE",145
NDM093756,,,,
NDM093757,99,7,NE,145
NDM093757,,,,
NDM093755,99,4,"S2NW,SW",145
NDM093755,99,4,"3,4",145
NDM093755,99,8,E2,145
NDM093755,99,15,ALL,145
NDM093755,,,,
NDM093758,99,10,"N2NE,NESE,S2SE",145
NDM093758,,,,
NDM093759,99,20,S2,145
NDM093759,99,30,SE,145
NDM093759,,,,
NDM102955,98,24,W2E2,136
NDM102955,98,25,W2E2,136
NDM102955,98,25,"1,2,3,4",136
NDM102955,,,,
NDM102954,97,25,N2,158
NDM102954,,,,
NDM093178,102,5,S2,143
NDM093178,102,5,"POR LOT 1, SENE OUTSIDE",143
NDM093178,102,5,THEODORE ROOSEVELT NP,143
NDM093178,,,,
NDM093179,102,5,"SWNE,S2NW",143
NDM093179,102,5,"2,3,4",143
NDM093179,,,,
NDM102951,94,6,S2NE,144
NDM102951,94,6,"1,2",144
NDM102951,,,,
NDM102950,92,12,NE,161
NDM102950,,,,
NDM102953,96,6,"1,2,3,4",137
NDM102953,,,,
NDM093170,97,34,"E2,N2NW,NESW,S2SW",149
NDM093170,,,,
NDM093171,99,6,5,151
NDM093171,,,,
NDM093176,102,32,"N2NE,SWNE,NESW,N2SE,SESE",142
NDM093176,,,,
NDM093177,102,32,"SENE,NW,NWSW,S2SW,SWSE",142
NDM093177,,,,
NDM093175,102,6,"S2NE,SENW,E2SW,SE",139
NDM093175,102,6,7-Jan,139
NDM093175,,,,
NDM102137,90,33,NE,145
NDM102137,,,,
NDM102136,89,21,"SENE,SW,E2SE",158
NDM102136,89,22,NWSW,158
NDM102136,,,,
NDM102135,89,20,2,157
NDM102135,,,,
NDM102134,89,19,NE,156
NDM102134,,,,
NDM102133,89,3,SENW,156
NDM102133,89,7,"1,2",156
NDM102133,89,27,NWNE,156
NDM102133,,,,
NDM102132,89,22,NE,155
NDM102132,89,23,E2,155
NDM102132,89,24,W2SW,155
NDM102132,,,,
NDM102131,89,19,NE,146
NDM102131,89,34,SE,146
NDM102131,89,35,NW,146
NDM102131,,,,
NDM102130,89,7,SE,145
NDM102130,89,8,"NWNE,N2NW,SWNW",145
NDM102130,,,,
NDM102139,90,21,NWNE,156
NDM102139,,,,
NDM081410,102,24,S2,146
NDM081410,102,26,NENE,146
NDM081410,102,26,POR OF RESURVEYED,146
NDM081410,102,26,LOT 9 (9.70 AC) & TR 37,146
NDM081410,102,26,(FORMERLY LOT 2)(24.0 AC),146
NDM081410,102,26,"10,11",146
NDM081410,,,,
NDM103689,96,6,"SESW,S2SE",142
NDM103689,96,6,7,142
NDM103689,,,,
NDBLMA0025873,102,12,"N2SE,SWSE",139
NDBLMA0025873,102,24,"W2,SE",139
NDBLMA0025873,102,26,"NE,N2NW,SENW",139
NDBLMA0025873,,,,
NDM080942,102,5,"1-5,7-9,13,16,17",144
NDM080942,,,,
NDM094256,102,4,"SENE,SWNW,W2SW,E2SE",141
NDM094256,102,4,"1,4",141
NDM094256,102,8,"N2NW,SWNW,SWSW,SE",141
NDM094256,102,18,"N2NE,E2NW,E2SE",141
NDM094256,102,18,"1,2",141
NDM094256,,,,
NDBLMA0026873,101,9,SW,139
NDBLMA0026873,101,17,ALL,139
NDBLMA0026873,,,,
NDM094254,101,10,SW,146
NDM094254,101,24,E2,146
NDM094254,101,28,S2,146
NDM094254,,,,
NDM094255,102,1,"S2NW,NWSE,S2SE",141
NDM094255,102,1,BED LTL MO RVR RIPAR,141
